emp_no,birth_date,first_name,last_name,gender,hire_date
10225,1957-02-13,Kellie,Chinen,F,1986-06-19
10789,1964-05-19,Aruna,Journel,F,1987-02-02
12038,1956-04-13,Aruna,Businaro,F,1987-01-09
14080,1957-02-24,Aruna,Motley,F,1987-03-09
14459,1964-09-21,Aruna,Boreale,F,1986-12-06
14918,1962-10-16,Kellie,Kaiserswerth,F,1986-11-18
17123,1953-12-02,Aruna,Beausoleil,F,1991-07-03
19751,1963-12-24,Aruna,Madeira,F,1992-10-01
21543,1961-05-03,Aruna,Dulin,F,1995-11-08
22164,1957-04-05,Kellie,Argence,F,1989-09-09
22196,1953-11-04,Aruna,Mukaidono,F,1986-12-23
22335,1962-04-07,Kellie,Brandsma,F,1987-11-10
22351,1960-03-04,Aruna,Sridhar,F,1990-06-26
23937,1963-03-15,Aruna,Heuter,F,1986-01-31
30308,1961-10-01,Kellie,Riexinger,F,1992-04-17
31077,1959-02-11,Kellie,Skrikant,F,1997-01-31
32705,1963-05-23,Kellie,Couchot,F,1985-05-15
34825,1962-04-25,Kellie,Comte,F,1989-09-16
37059,1959-12-03,Kellie,Lindqvist,F,1988-07-14
37841,1959-01-29,Aruna,Yeung,F,1994-07-24
47258,1955-03-05,Kellie,Bain,F,1990-12-14
48374,1955-01-07,Aruna,Sewelson,F,1991-03-22
55185,1960-07-27,Aruna,Koblick,F,1995-12-01
56072,1958-05-20,Aruna,Frolund,F,1992-09-20
57575,1954-10-29,Kellie,Schurmann,F,1989-05-05
57789,1958-04-18,Aruna,Erde,F,1989-02-22
58629,1964-06-28,Aruna,Schonegge,F,1993-06-30
60926,1954-08-04,Kellie,Nourani,F,1987-06-01
62855,1963-03-01,Kellie,Walstra,F,1990-12-19
64685,1959-06-21,Kellie,Socorro,F,1993-03-04
68437,1962-01-17,Kellie,Schach,F,1988-06-14
71035,1964-11-12,Aruna,Cronin,F,1997-01-25
72265,1963-10-20,Aruna,Nooteboom,F,1989-10-20
72737,1952-07-20,Kellie,Kroll,F,1991-03-26
73240,1962-10-18,Aruna,Griswold,F,1992-02-09
75022,1959-04-29,Kellie,Qiwen,F,1991-03-26
75979,1953-11-01,Kellie,Atrawala,F,1997-03-05
78071,1953-07-06,Kellie,Kavanagh,F,1994-02-22
78708,1959-07-14,Aruna,Fiebach,F,1995-07-10
84194,1958-12-07,Aruna,Khasidashvili,F,1990-04-11
84569,1958-02-23,Kellie,Olano,F,1985-03-09
85705,1952-08-02,Kellie,Codenie,F,1994-08-08
86078,1961-09-30,Kellie,Lovengreen,F,1992-03-25
86593,1955-12-21,Kellie,Grospietsch,F,1989-02-19
91378,1964-06-01,Aruna,Halevi,F,1995-03-01
92426,1957-07-02,Aruna,Serna,F,1986-11-22
94011,1952-05-21,Kellie,Ghalwash,F,1991-04-05
94623,1953-09-09,Kellie,Poupard,F,1992-10-07
95946,1955-09-14,Kellie,Ertl,F,1985-02-20
98207,1961-08-02,Aruna,Broder,F,1986-08-01
101292,1956-06-08,Aruna,Verhaegen,F,1985-11-01
104921,1953-01-16,Kellie,Chandrasekhar,F,1988-06-13
105552,1959-03-18,Kellie,Ananiadou,F,1997-06-03
107158,1964-10-26,Aruna,Lorho,F,1988-11-06
107173,1955-04-24,Kellie,Luga,F,1985-10-30
107289,1962-10-28,Kellie,Uehara,F,1990-04-30
108279,1953-05-24,Kellie,Chepyzhov,F,1987-04-04
108471,1958-05-09,Aruna,Brender,F,1989-09-21
204939,1956-03-08,Kellie,Keirsey,F,1992-09-01
208025,1963-05-22,Aruna,Sinicrope,F,1993-12-15
211889,1963-09-10,Kellie,Boguraev,F,1992-04-05
211982,1964-05-23,Aruna,Turnbull,F,1998-08-19
213551,1964-07-07,Aruna,Improta,F,1997-07-25
215219,1959-05-12,Aruna,Decaestecker,F,1993-08-17
216112,1963-02-25,Aruna,Benantar,F,1995-06-08
220055,1958-11-12,Kellie,Brodie,F,1985-09-27
221776,1960-06-06,Aruna,Cullers,F,1992-05-15
222155,1952-03-26,Kellie,Delgrande,F,1988-12-23
223612,1962-07-30,Aruna,Krogh,F,1994-10-19
225226,1958-07-28,Aruna,Karlin,F,1985-09-30
227061,1964-09-02,Kellie,Stemann,F,1987-10-26
231733,1956-12-20,Aruna,Feldhoffer,F,1993-12-23
232140,1959-01-16,Kellie,Bach,F,1987-12-02
234410,1955-04-18,Kellie,Bugrara,F,1990-08-15
235025,1955-09-07,Aruna,Sgarro,F,1990-08-24
236499,1958-07-28,Kellie,Verhaegen,F,1991-07-30
239005,1958-05-18,Aruna,Rothenberg,F,1991-11-23
239807,1956-11-01,Aruna,Shiratori,F,1994-10-27
240794,1961-11-04,Aruna,McClure,F,1985-05-14
241260,1955-11-11,Kellie,Heinisuo,F,1985-06-06
245601,1953-12-07,Aruna,Cmelik,F,1995-11-22
249774,1961-11-27,Aruna,Sanella,F,1992-12-11
253076,1960-04-27,Kellie,Lambe,F,1996-07-18
253512,1962-09-11,Aruna,Schnelling,F,1996-05-30
256084,1955-12-07,Aruna,Krogh,F,1997-01-16
257822,1956-08-26,Kellie,Perelgut,F,1990-07-06
258207,1960-12-04,Aruna,Greenaway,F,1986-09-02
259061,1964-02-04,Aruna,Gopalakrishnan,F,1988-02-05
260092,1954-08-17,Aruna,Detkin,F,1986-07-14
263384,1963-06-29,Kellie,Tchuente,F,1987-04-18
269030,1952-11-01,Aruna,Masada,F,1987-08-07
270465,1964-10-13,Kellie,Ozeki,F,1987-04-12
271528,1958-11-30,Aruna,Koblick,F,1987-07-06
271865,1964-06-02,Kellie,Kalefeld,F,1992-06-04
