emp_no,birth_date,first_name,last_name,gender,hire_date
10030,1958-07-14,Elvis,Demeyer,M,1994-02-17
11050,1952-09-23,Elvis,Katiyar,M,1986-05-06
11688,1958-09-04,Denis,Coullard,F,1994-10-29
12870,1960-03-24,Elvis,Pfau,F,1990-04-09
13620,1956-10-31,Elvis,Dolinsky,M,1985-06-12
14434,1954-07-08,Elvis,Maginnis,M,1987-11-27
15083,1958-11-24,Denis,Nicolson,M,1994-03-02
15824,1957-07-28,Denis,Schwabacher,F,1988-02-14
16500,1953-02-02,Elvis,Servieres,M,1985-07-15
17116,1961-02-03,Denis,Mullainathan,F,1998-12-23
17224,1955-04-06,Denis,Back,M,1985-07-29
18031,1957-06-15,Denis,Munke,F,1987-06-26
18121,1953-08-26,Denis,Stanfel,M,1990-05-21
18187,1965-01-08,Denis,Falster,M,1989-10-12
18772,1957-05-17,Denis,Hempstead,F,1986-08-05
19798,1962-12-22,Denis,Schmezko,M,1986-10-30
20368,1952-07-10,Denis,Samarati,F,1985-03-11
22273,1961-11-23,Elvis,Terkki,M,1986-07-16
23004,1955-05-21,Denis,Besselaar,M,1995-01-17
23015,1952-06-21,Elvis,Otillio,M,1991-03-19
24102,1953-06-18,Elvis,Thorelli,F,1992-09-07
25767,1964-10-13,Elvis,Willoner,F,1991-09-08
26866,1962-02-03,Denis,Gecseg,F,1985-10-18
26955,1953-09-03,Elvis,Tanemo,M,1986-11-20
27522,1960-06-09,Denis,Duclos,M,1993-12-06
28741,1954-05-10,Denis,Marrakchi,M,1990-02-07
32288,1964-08-26,Denis,Rossi,M,1990-12-12
33817,1962-12-28,Denis,Gulik,M,1985-08-23
33858,1956-05-20,Denis,Lorys,F,1994-11-01
34068,1963-12-25,Elvis,Velasco,F,1992-09-13
34559,1957-12-01,Denis,Hardjono,M,1988-04-29
34886,1961-04-10,Denis,Sadowski,F,1990-11-05
35213,1960-09-11,Denis,Bashian,F,1992-05-10
35342,1955-02-23,Elvis,Potthoff,M,1988-02-29
35988,1961-01-30,Denis,Felcyn,F,1986-11-09
37294,1964-02-13,Elvis,Heping,F,1986-08-10
37913,1957-02-19,Elvis,Demri,M,1985-10-18
38627,1964-08-25,Denis,Angelov,M,1989-11-22
38820,1960-11-04,Denis,Delgrossi,F,1986-11-29
41828,1959-09-11,Elvis,Camurati,F,1985-03-14
42239,1952-06-05,Elvis,Servieres,M,1988-03-06
43383,1961-10-04,Elvis,Stasinski,M,1985-09-01
43524,1953-10-03,Denis,Rassart,M,1990-05-21
43576,1953-10-16,Elvis,Wissmann,M,1989-06-28
43799,1956-12-18,Elvis,Zhiwei,M,1992-11-06
43802,1958-01-31,Elvis,Boguraev,F,1989-04-28
43893,1958-01-15,Elvis,Wegerle,M,1985-09-12
43944,1953-10-06,Denis,Dulli,M,1994-09-23
44105,1963-05-30,Denis,Thombley,M,1987-06-29
44443,1953-01-01,Elvis,Brookner,M,1993-07-16
45110,1959-05-19,Elvis,Munro,M,1987-11-27
45324,1959-08-05,Elvis,Fioravanti,F,1988-01-03
46735,1955-07-23,Elvis,Armand,F,1992-11-11
46740,1953-10-13,Denis,Kisuki,F,1986-04-20
47467,1961-12-19,Denis,Smailagic,F,1986-03-09
47807,1960-11-15,Denis,Garnier,M,1995-09-08
47891,1956-02-14,Denis,Rodiger,M,1993-10-23
47960,1953-12-28,Denis,Roccetti,M,1987-09-28
48326,1961-02-19,Denis,Muchinsky,M,1986-07-15
49400,1964-12-20,Elvis,Hutter,F,1991-09-01
50668,1964-09-23,Elvis,Demizu,F,1995-12-23
51628,1954-11-23,Denis,Angelopoulos,F,1993-05-24
51647,1955-05-21,Elvis,Schaad,M,1992-05-16
51675,1954-07-08,Denis,Ermel,M,1994-10-06
51917,1958-11-16,Denis,Isard,M,1994-06-17
52411,1955-10-05,Elvis,Alpin,M,1988-04-16
52513,1956-02-23,Elvis,Mungall,F,1987-08-09
52525,1956-06-13,Denis,Salvesen,M,1985-10-06
52776,1963-08-23,Elvis,Oaver,M,1989-10-27
53717,1960-06-07,Elvis,Sullins,F,1985-08-28
54484,1953-05-10,Elvis,Heuser,F,1987-09-06
55875,1963-08-03,Elvis,Cherinka,M,1994-04-20
56264,1953-10-07,Denis,Vecchio,M,1997-07-29
57288,1963-12-24,Elvis,Anandan,F,1990-08-30
57589,1961-08-15,Denis,Angelopoulos,F,1986-11-02
58175,1956-04-07,Denis,Schaad,M,1991-05-01
59588,1959-10-18,Elvis,Templeman,F,1992-09-17
59822,1958-02-16,Denis,Luon,F,1989-10-06
60233,1953-07-06,Elvis,Ladret,M,1990-04-20
62073,1963-10-21,Elvis,Edelhoff,M,1986-07-23
62133,1959-06-06,Denis,Erev,F,1990-12-09
63257,1952-07-12,Elvis,Trogemann,M,1985-11-01
64845,1959-01-03,Denis,Weisert,F,1989-04-01
65592,1960-02-13,Denis,Rosar,M,1985-08-25
67767,1955-02-05,Elvis,Demos,M,1986-05-24
