emp_no,birth_date,first_name,last_name,gender,hire_date
10232,1956-03-11,Marko,Auria,F,1992-06-04
10415,1957-11-12,Mark,Coorg,M,1993-10-25
10522,1955-07-24,Marke,Cesareni,F,1986-12-12
11887,1957-05-25,Marke,Kragelund,M,1994-10-17
12007,1952-06-18,Marko,Dehkordi,M,1989-05-17
13452,1958-04-02,Marke,Nations,M,1985-11-15
13517,1961-02-22,Mark,Setlzner,M,1988-01-02
13925,1960-06-26,Marko,Masada,M,1990-02-14
14248,1955-10-13,Mark,Alblas,M,1989-05-24
14335,1955-09-16,Mark,Fraisse,M,1997-10-09
15031,1956-12-22,Mark,Naumovich,M,1992-09-07
16076,1954-11-04,Marko,Ebeling,M,1985-12-21
16517,1957-03-07,Marko,Alpin,M,1985-11-23
16787,1957-05-18,Marke,Chiola,M,1990-07-28
16818,1956-07-21,Marko,Rebaine,M,1988-04-18
17118,1953-12-29,Marke,Felder,F,1991-04-06
17371,1958-02-03,Mark,Sankaranarayanan,F,1988-10-16
17551,1954-02-21,Mark,Foote,F,1998-10-04
18236,1962-08-13,Marko,Unno,F,1985-05-07
19485,1962-01-05,Marko,Lamparter,M,1990-11-16
19561,1957-02-23,Mark,Kinley,F,1987-04-30
20189,1955-02-19,Mark,Nanard,M,1986-08-28
20430,1957-12-04,Marko,Alencar,M,1993-05-20
20945,1955-12-22,Mark,Marsiglia,F,1998-07-03
21400,1962-05-17,Marke,Valtorta,M,1991-01-19
21602,1964-10-30,Marko,Velardi,F,1986-05-21
21894,1952-10-19,Marke,Yemenis,M,1985-06-03
22481,1953-07-13,Mark,Ciolek,F,1991-04-09
22974,1961-06-15,Marke,Sooriamurthi,M,1996-07-22
23027,1960-10-17,Marko,Schach,M,1997-02-18
23195,1952-05-27,Mark,Ertl,M,1986-09-25
23829,1963-03-01,Marko,Waschkowski,M,1993-08-16
24128,1953-03-09,Marke,Rabehasaina,F,1993-03-03
24172,1956-07-26,Marke,Loncour,F,1987-06-02
24632,1958-11-03,Mark,Harllee,M,1989-09-22
25410,1954-01-05,Marke,Leijenhorst,M,1990-06-11
25702,1964-08-18,Marko,Leonhardt,M,1986-02-25
26521,1958-02-08,Marke,Suermann,M,1991-02-16
27496,1955-11-28,Marke,Angelov,M,1986-08-15
27631,1954-10-06,Marke,Msuda,M,1987-02-23
27714,1961-12-23,Marko,Fujisaki,F,1985-06-28
27746,1964-11-29,Mark,Lunn,M,1987-09-22
30145,1960-07-02,Marke,Itschner,F,1988-08-24
31039,1964-09-19,Marko,Hiraishi,M,1985-02-08
31243,1957-11-05,Marke,Marquardt,M,1993-04-21
31457,1959-11-20,Marko,Baalen,F,1988-01-14
31568,1965-01-10,Mark,Lalonde,M,1985-12-24
31904,1964-08-09,Marke,Zschoche,F,1993-02-10
32252,1955-06-22,Marke,Bratten,F,1985-06-20
32652,1958-01-04,Marko,Zongker,F,1986-05-15
33764,1956-10-09,Mark,Deville,M,1985-04-29
34022,1961-01-28,Marke,Erol,M,1991-02-16
34318,1960-08-31,Marko,Rande,F,1995-06-16
34613,1961-10-14,Marko,Sifakis,M,1989-05-14
34693,1958-03-09,Marko,Casperson,F,1990-05-02
35058,1963-05-23,Marke,Berztiss,M,1993-02-15
35400,1964-04-17,Marko,Klassen,M,1986-08-11
36126,1961-07-03,Marke,Rusmann,F,1996-12-03
36519,1959-02-23,Marko,Yetim,F,1990-02-20
36538,1960-07-18,Marke,Melski,M,1987-12-27
37220,1956-05-12,Marke,Tagansky,F,1987-09-02
37327,1953-04-12,Marko,Avouris,F,1998-06-30
37408,1955-10-28,Mark,Boguraev,M,1990-09-16
37916,1956-08-02,Marko,Gyorkos,F,1990-03-02
38410,1958-06-19,Mark,Melichar,M,1992-02-17
