emp_no,birth_date,first_name,last_name,gender,hire_date
10225,1957-02-13,Kellie,Chinen,F,1986-06-19
10789,1964-05-19,Aruna,Journel,F,1987-02-02
11217,1954-07-01,Kellie,Mawatari,M,1987-09-22
11938,1954-01-14,Aruna,Verspoor,M,1994-07-15
12038,1956-04-13,Aruna,Businaro,F,1987-01-09
14080,1957-02-24,Aruna,Motley,F,1987-03-09
14459,1964-09-21,Aruna,Boreale,F,1986-12-06
14637,1956-01-30,Aruna,Syrzycki,M,1992-01-26
14918,1962-10-16,Kellie,Kaiserswerth,F,1986-11-18
15272,1955-09-05,Aruna,Choobineh,M,1991-09-09
17123,1953-12-02,Aruna,Beausoleil,F,1991-07-03
18419,1960-11-25,Aruna,Antonisse,M,1987-12-15
19751,1963-12-24,Aruna,Madeira,F,1992-10-01
20316,1954-11-10,Kellie,Krybus,M,1986-07-28
20519,1959-07-08,Kellie,Schnelling,M,1992-04-13
21357,1962-01-15,Aruna,Peral,M,1987-11-02
21543,1961-05-03,Aruna,Dulin,F,1995-11-08
22164,1957-04-05,Kellie,Argence,F,1989-09-09
22196,1953-11-04,Aruna,Mukaidono,F,1986-12-23
22335,1962-04-07,Kellie,Brandsma,F,1987-11-10
22351,1960-03-04,Aruna,Sridhar,F,1990-06-26
23937,1963-03-15,Aruna,Heuter,F,1986-01-31
24698,1954-08-17,Aruna,Wixon,M,1993-06-03
25186,1960-12-01,Aruna,Farrag,M,1987-03-27
26479,1961-03-16,Kellie,Demir,M,1986-04-01
26553,1952-09-07,Kellie,Kaelbling,M,1995-04-19
27051,1960-08-17,Aruna,Schwaller,M,1993-11-22
27923,1964-07-13,Aruna,Zedlitz,M,1997-05-25
28112,1954-07-24,Kellie,Swan,M,1991-03-02
28833,1961-11-16,Kellie,Shackell,M,1989-07-30
28856,1962-05-15,Aruna,Soloway,M,1989-01-30
30308,1961-10-01,Kellie,Riexinger,F,1992-04-17
30596,1960-10-09,Aruna,Keohane,M,1986-03-10
31077,1959-02-11,Kellie,Skrikant,F,1997-01-31
31627,1960-08-03,Kellie,Silva,M,1990-07-25
32705,1963-05-23,Kellie,Couchot,F,1985-05-15
33799,1954-02-02,Kellie,Doering,M,1985-10-07
34825,1962-04-25,Kellie,Comte,F,1989-09-16
35610,1953-11-14,Aruna,Kornyak,M,1986-02-12
36066,1953-06-04,Aruna,Poujol,M,1997-01-30
36878,1953-03-29,Kellie,Ratzlaff,M,1990-02-03
37059,1959-12-03,Kellie,Lindqvist,F,1988-07-14
37841,1959-01-29,Aruna,Yeung,F,1994-07-24
38804,1962-10-15,Kellie,Kamble,M,1987-02-17
38902,1961-07-20,Aruna,Otillio,M,1991-05-25
38985,1963-07-03,Kellie,Braunschweig,M,1985-11-09
40029,1953-02-04,Aruna,Braccini,M,1987-05-23
41385,1954-12-07,Aruna,Laurillard,M,1994-02-14
42552,1956-12-07,Kellie,Socorro,M,1991-11-08
42727,1957-08-21,Kellie,Pouyioutas,M,1993-02-17
44850,1956-08-28,Aruna,Perz,M,1986-11-19
45615,1962-06-08,Kellie,Herath,M,1988-02-13
46812,1960-06-03,Aruna,Rebaine,M,1985-08-27
47258,1955-03-05,Kellie,Bain,F,1990-12-14
47786,1963-12-20,Kellie,Lung,M,1985-02-15
48374,1955-01-07,Aruna,Sewelson,F,1991-03-22
49084,1962-03-16,Aruna,Wursthorn,M,1991-08-10
51424,1964-07-13,Aruna,Deville,M,1989-12-11
52292,1952-09-14,Aruna,Waterhouse,M,1989-04-23
52557,1952-07-15,Aruna,Kalsbeek,M,1986-07-21
53779,1952-07-18,Kellie,Zielinski,M,1987-07-08
55185,1960-07-27,Aruna,Koblick,F,1995-12-01
56072,1958-05-20,Aruna,Frolund,F,1992-09-20
57348,1962-12-31,Aruna,Schaaf,M,1989-10-28
57575,1954-10-29,Kellie,Schurmann,F,1989-05-05
57789,1958-04-18,Aruna,Erde,F,1989-02-22
58101,1963-07-13,Kellie,Velardi,M,1987-04-07
58629,1964-06-28,Aruna,Schonegge,F,1993-06-30
58793,1963-09-02,Kellie,Tetzlaff,M,1993-05-03
58952,1960-01-19,Aruna,Dredge,M,1992-09-02
59553,1954-01-30,Aruna,Hockney,M,1989-12-08
59689,1960-06-11,Kellie,Kuszyk,M,1990-03-17
59900,1961-01-11,Kellie,Encarnacion,M,1994-06-19
60405,1953-04-25,Kellie,Waterhouse,M,1995-02-13
60926,1954-08-04,Kellie,Nourani,F,1987-06-01
61508,1957-06-18,Kellie,Peek,M,1997-07-17
61657,1958-09-20,Aruna,Gluchowski,M,1988-06-21
62276,1959-12-11,Aruna,Perry,M,1991-01-16
62445,1963-11-14,Kellie,Katzenelson,M,1991-01-19
62855,1963-03-01,Kellie,Walstra,F,1990-12-19
64685,1959-06-21,Kellie,Socorro,F,1993-03-04
65314,1961-05-30,Kellie,Zongker,M,1985-12-18
65380,1958-03-25,Kellie,Thibadeau,M,1993-12-31
66067,1952-08-24,Aruna,Domenig,M,1988-07-13
66152,1961-05-15,Aruna,Takkinen,M,1992-12-12
68003,1954-03-15,Kellie,Ratzlaff,M,1988-11-21
68437,1962-01-17,Kellie,Schach,F,1988-06-14
69609,1955-12-30,Kellie,Litzkow,M,1991-08-26
70320,1953-02-24,Aruna,Beerel,M,1988-02-02
71035,1964-11-12,Aruna,Cronin,F,1997-01-25
72265,1963-10-20,Aruna,Nooteboom,F,1989-10-20
72295,1962-11-11,Kellie,Emmerich,M,1987-05-12
72737,1952-07-20,Kellie,Kroll,F,1991-03-26
73240,1962-10-18,Aruna,Griswold,F,1992-02-09
