emp_no,birth_date,first_name,last_name,gender,hire_date
463807,1964-06-12,Bikash,Covnot,M,2000-01-28
428377,1957-05-09,Yucai,Gerlach,M,2000-01-23
499553,1954-05-06,Hideyuki,Delgrande,F,2000-01-22
222965,1959-08-07,Volkmar,Perko,F,2000-01-13
47291,1960-09-09,Ulf,Flexer,M,2000-01-12
422990,1953-04-09,Jaana,Verspoor,F,2000-01-11
227544,1954-11-17,Shahab,Demeyer,M,2000-01-08
205048,1960-09-12,Ennio,Alblas,F,2000-01-06
226633,1958-06-10,Xuejun,Benzmuller,F,2000-01-04
424445,1953-04-27,Jeong,Boreale,M,2000-01-03
60134,1964-04-21,Seshu,Rathonyi,F,2000-01-02
72329,1953-02-09,Randi,Luit,F,2000-01-02
108201,1955-04-14,Mariangiola,Boreale,M,2000-01-01
294732,1960-11-07,Karlis,Orsini,M,1999-12-31
13246,1952-06-09,Adil,Siepmann,F,1999-12-31
71159,1952-07-19,Manton,Ghemri,F,1999-12-30
242381,1952-05-14,Garnik,Kolvik,F,1999-12-30
73925,1959-08-11,Vasilii,Stavenow,M,1999-12-30
220951,1957-10-14,Mang,Kohling,F,1999-12-28
246589,1957-04-03,Murthy,Duclos,M,1999-12-26
243702,1961-10-04,Munehiro,Luke,F,1999-12-24
48170,1956-04-15,Lorien,Luon,M,1999-12-23
427825,1954-10-25,DAIDA,Llado,M,1999-12-23
270991,1958-12-21,Rosita,Fujisawa,M,1999-12-20
48910,1952-02-02,Zhongwei,DuBourdieux,M,1999-12-19
90996,1960-07-03,Dannz,Kamble,F,1999-12-18
478044,1961-06-17,Lalit,Wielonsky,M,1999-12-16
292805,1963-08-13,Jacqueline,Hoogerwoord,F,1999-12-16
472213,1960-05-29,LiMin,Wilharm,M,1999-12-16
441722,1958-12-01,Gonzalo,Aamodt,F,1999-12-15
482240,1959-06-08,Guozhong,Renear,F,1999-12-12
75674,1963-09-12,Mabry,Kavanagh,F,1999-12-11
48358,1962-07-03,Branimir,Syang,F,1999-12-11
247746,1961-07-13,Frederique,Lagarias,F,1999-12-10
93122,1957-11-20,Nobuyoshi,Greibach,F,1999-12-10
100943,1953-02-24,Tuval,Merkl,F,1999-12-10
458294,1955-04-14,Denny,Radwan,M,1999-12-06
13919,1952-04-22,Brewster,Sinicrope,M,1999-12-04
457056,1954-06-07,Phillip,Eppinger,M,1999-12-04
293005,1963-06-01,Georgy,Pero,M,1999-12-04
228543,1953-08-28,Val,Uchoa,F,1999-12-04
413924,1960-12-29,Emran,Garigliano,M,1999-12-04
218859,1954-04-12,Arvin,Nooteboom,M,1999-12-03
432278,1954-06-28,Uri,Deverell,M,1999-12-02
239929,1955-09-25,Uli,Thiran,M,1999-12-02
69036,1963-11-22,Turgut,Flasterstein,M,1999-12-02
73027,1959-11-28,Arto,Spinelli,M,1999-12-02
403438,1961-09-20,Yannis,Naudin,F,1999-12-01
499361,1963-01-23,Sandeepan,Solares,F,1999-11-30
431135,1964-05-22,Marsja,Zuberek,M,1999-11-30
420548,1964-05-09,Muneo,Erev,M,1999-11-29
67892,1958-08-15,Teiji,Eldridge,M,1999-11-27
89511,1956-07-22,Kazuhiro,DuBourdieux,M,1999-11-27
487022,1956-06-26,Zhiguo,Baezner,M,1999-11-26
268451,1963-08-02,Rasiah,Marciano,F,1999-11-25
28500,1954-04-28,Fumiko,Zwicker,M,1999-11-23
77499,1960-07-18,Guozhong,Baby,F,1999-11-23
438024,1956-10-17,Yishai,Eastman,F,1999-11-22
280859,1958-05-21,Hilari,Schauser,M,1999-11-22
65535,1952-08-27,Aleksander,Birjandi,F,1999-11-21
80247,1956-03-07,Mariusz,Zschoche,F,1999-11-21
250452,1965-01-14,Alexius,Plavsic,M,1999-11-21
208999,1952-12-04,Piyawadee,Rodiger,M,1999-11-20
272879,1959-02-05,Ashish,Fontet,M,1999-11-19
89870,1960-11-07,Huei,Swen,F,1999-11-19
431462,1956-05-08,Yishay,Prochazka,M,1999-11-18
277558,1954-01-31,Herbert,Luit,F,1999-11-17
236390,1963-10-26,Abdelaziz,Trachtenberg,M,1999-11-17
64369,1952-05-19,Yuqun,Negoita,M,1999-11-16
461396,1958-04-27,Tadahiro,Spinelli,M,1999-11-15
92030,1952-04-25,Vitaly,Zobel,M,1999-11-15
17789,1956-03-16,Snehasis,Gilg,F,1999-11-14
297236,1954-11-24,Bedir,Serra,F,1999-11-13
403555,1952-05-13,Gor,Dalton,M,1999-11-13
36285,1963-11-29,Karsten,Jording,F,1999-11-13
480885,1959-11-11,Patricia,Kabayashi,M,1999-11-12
437831,1954-09-19,Gaetan,Sooriamurthi,F,1999-11-12
51862,1954-11-18,Gonzalo,Ozeki,F,1999-11-12
29723,1954-05-28,Guiseppe,Radhakrishnan,F,1999-11-10
237329,1963-09-12,Gad,Gien,F,1999-11-08
231556,1964-07-12,Magdalena,Turnbull,F,1999-11-07
45361,1952-09-03,Frederique,Brookman,M,1999-11-07
87025,1955-11-01,DeForest,Ohori,F,1999-11-06
11697,1957-12-20,JoAnne,Merey,F,1999-11-06
266050,1952-11-11,Mingdong,Adachi,M,1999-11-03
