emp_no,birth_date,first_name,last_name,gender,hire_date
10030,1958-07-14,Elvis,Demeyer,M,1994-02-17
11050,1952-09-23,Elvis,Katiyar,M,1986-05-06
12870,1960-03-24,Elvis,Pfau,F,1990-04-09
13620,1956-10-31,Elvis,Dolinsky,M,1985-06-12
14434,1954-07-08,Elvis,Maginnis,M,1987-11-27
16500,1953-02-02,Elvis,Servieres,M,1985-07-15
22273,1961-11-23,Elvis,Terkki,M,1986-07-16
23015,1952-06-21,Elvis,Otillio,M,1991-03-19
24102,1953-06-18,Elvis,Thorelli,F,1992-09-07
25767,1964-10-13,Elvis,Willoner,F,1991-09-08
26955,1953-09-03,Elvis,Tanemo,M,1986-11-20
34068,1963-12-25,Elvis,Velasco,F,1992-09-13
35342,1955-02-23,Elvis,Potthoff,M,1988-02-29
37294,1964-02-13,Elvis,Heping,F,1986-08-10
37913,1957-02-19,Elvis,Demri,M,1985-10-18
41828,1959-09-11,Elvis,Camurati,F,1985-03-14
42239,1952-06-05,Elvis,Servieres,M,1988-03-06
43383,1961-10-04,Elvis,Stasinski,M,1985-09-01
43576,1953-10-16,Elvis,Wissmann,M,1989-06-28
43799,1956-12-18,Elvis,Zhiwei,M,1992-11-06
43802,1958-01-31,Elvis,Boguraev,F,1989-04-28
43893,1958-01-15,Elvis,Wegerle,M,1985-09-12
44443,1953-01-01,Elvis,Brookner,M,1993-07-16
45110,1959-05-19,Elvis,Munro,M,1987-11-27
45324,1959-08-05,Elvis,Fioravanti,F,1988-01-03
46735,1955-07-23,Elvis,Armand,F,1992-11-11
49400,1964-12-20,Elvis,Hutter,F,1991-09-01
50668,1964-09-23,Elvis,Demizu,F,1995-12-23
51647,1955-05-21,Elvis,Schaad,M,1992-05-16
52411,1955-10-05,Elvis,Alpin,M,1988-04-16
52513,1956-02-23,Elvis,Mungall,F,1987-08-09
52776,1963-08-23,Elvis,Oaver,M,1989-10-27
53717,1960-06-07,Elvis,Sullins,F,1985-08-28
54484,1953-05-10,Elvis,Heuser,F,1987-09-06
55875,1963-08-03,Elvis,Cherinka,M,1994-04-20
57288,1963-12-24,Elvis,Anandan,F,1990-08-30
59588,1959-10-18,Elvis,Templeman,F,1992-09-17
60233,1953-07-06,Elvis,Ladret,M,1990-04-20
62073,1963-10-21,Elvis,Edelhoff,M,1986-07-23
63257,1952-07-12,Elvis,Trogemann,M,1985-11-01
67767,1955-02-05,Elvis,Demos,M,1986-05-24
68880,1953-07-07,Elvis,Assaf,M,1986-09-27
69227,1956-02-06,Elvis,Trumbly,M,1987-10-16
69598,1954-06-16,Elvis,Hofstetter,F,1987-11-14
69905,1958-09-03,Elvis,Mersereau,M,1990-01-20
70325,1960-01-22,Elvis,Garrabrants,F,1985-10-19
72643,1954-05-19,Elvis,Varley,M,1996-04-07
73042,1952-03-26,Elvis,Rossi,M,1995-01-29
74814,1962-02-17,Elvis,Oehlmann,M,1987-04-30
78108,1964-07-24,Elvis,Narahari,M,1989-06-21
78592,1961-01-16,Elvis,Neimat,M,1986-11-06
79538,1955-12-27,Elvis,Melton,M,1986-12-24
83557,1953-02-28,Elvis,Candan,M,1986-03-19
85075,1959-09-23,Elvis,Heusch,F,1988-12-28
85523,1952-04-02,Elvis,Chinin,M,1992-05-07
87742,1959-08-08,Elvis,Rande,F,1991-12-28
87956,1959-04-18,Elvis,Mungall,M,1992-12-24
93322,1962-02-18,Elvis,Ferretti,F,1996-09-06
93574,1959-04-03,Elvis,Matzat,F,1990-08-03
94065,1960-09-17,Elvis,Nishimukai,M,1985-02-23
94126,1953-02-20,Elvis,Kriebel,F,1985-12-29
95221,1956-08-10,Elvis,Bernick,M,1991-03-12
97760,1961-02-21,Elvis,Loncour,M,1988-06-24
97896,1957-04-09,Elvis,Vigier,M,1993-01-22
98086,1956-03-24,Elvis,Levergood,M,1997-02-27
99655,1955-08-02,Elvis,Borovoy,M,1986-03-19
102280,1952-03-29,Elvis,Sgarro,M,1990-03-09
102325,1958-12-06,Elvis,Selvestrel,F,1989-06-08
102515,1954-05-05,Elvis,Quaggetto,F,1985-03-04
103780,1955-06-28,Elvis,Lukaszewicz,F,1990-01-16
103866,1962-03-16,Elvis,Brodal,M,1989-04-22
104375,1962-05-12,Elvis,Jakobus,M,1993-12-20
104732,1956-09-05,Elvis,VanScheik,F,1990-01-08
105103,1954-06-30,Elvis,Zambonelli,M,1987-08-14
105446,1962-12-22,Elvis,Eldridge,F,1989-12-22
107591,1962-08-17,Elvis,Luit,F,1988-08-07
107981,1958-05-15,Elvis,Mattern,M,1995-05-01
109707,1958-08-28,Elvis,Zallocco,F,1988-02-22
200837,1960-10-22,Elvis,Kalorkoti,M,1988-07-04
201848,1955-01-15,Elvis,Ebeling,F,1988-12-27
202431,1955-03-19,Elvis,Syang,M,1993-08-06
203659,1960-06-11,Elvis,Shrader,M,1995-05-14
203919,1960-01-31,Elvis,Lally,F,1985-06-28
