emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d001,Marketing
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d002,Finance
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d003,"Human Resources"
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d004,Production
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d005,Development
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d006,"Quality Management"
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d007,Sales
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d008,Research
10001,1953-09-02,Georgi,Facello,M,1986-06-26,d009,"Customer Service"
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d001,Marketing
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d002,Finance
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d003,"Human Resources"
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d004,Production
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d005,Development
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d006,"Quality Management"
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d007,Sales
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d008,Research
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d009,"Customer Service"
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d001,Marketing
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d002,Finance
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d003,"Human Resources"
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d004,Production
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d005,Development
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d006,"Quality Management"
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d007,Sales
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d008,Research
10003,1959-12-03,Parto,Bamford,M,1986-08-28,d009,"Customer Service"
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d001,Marketing
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d002,Finance
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d003,"Human Resources"
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d004,Production
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d005,Development
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d006,"Quality Management"
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d007,Sales
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d008,Research
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d009,"Customer Service"
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d001,Marketing
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d002,Finance
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d003,"Human Resources"
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d004,Production
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d005,Development
