emp_no,first_name,last_name,dept_no,from_date
110022,Margareta,Markovitch,d001,1985-01-01
10898,Munenori,Markovitch,NULL,NULL
11817,Niranjan,Markovitch,NULL,NULL
12419,Srinidhi,Markovitch,NULL,NULL
12977,Byong,Markovitch,NULL,NULL
15392,Pradeep,Markovitch,NULL,NULL
21545,Boguslaw,Markovitch,NULL,NULL
22826,Ferdinand,Markovitch,NULL,NULL
22838,Brendon,Markovitch,NULL,NULL
26905,Fatemeh,Markovitch,NULL,NULL
28977,Fumiya,Markovitch,NULL,NULL
37927,Gad,Markovitch,NULL,NULL
38317,Gal,Markovitch,NULL,NULL
39107,Cordelia,Markovitch,NULL,NULL
43762,Fatemeh,Markovitch,NULL,NULL
50217,Claude,Markovitch,NULL,NULL
50251,Anoosh,Markovitch,NULL,NULL
50859,Mohammad,Markovitch,NULL,NULL
51188,Sanjoy,Markovitch,NULL,NULL
51478,Khaled,Markovitch,NULL,NULL
51552,Mariusz,Markovitch,NULL,NULL
56052,Sudhanshu,Markovitch,NULL,NULL
58179,Kousuke,Markovitch,NULL,NULL
58579,Fabrizio,Markovitch,NULL,NULL
60103,Hinrich,Markovitch,NULL,NULL
61877,Vishwani,Markovitch,NULL,NULL
62478,Kousuke,Markovitch,NULL,NULL
63699,Feiyu,Markovitch,NULL,NULL
66284,Lihong,Markovitch,NULL,NULL
68523,Jacopo,Markovitch,NULL,NULL
71565,Shirish,Markovitch,NULL,NULL
73270,Mikhail,Markovitch,NULL,NULL
73957,Sachar,Markovitch,NULL,NULL
74785,Christ,Markovitch,NULL,NULL
75438,Mitchel,Markovitch,NULL,NULL
77375,Nalini,Markovitch,NULL,NULL
79697,Erzsebet,Markovitch,NULL,NULL
83260,Premsyl,Markovitch,NULL,NULL
84991,Muzhong,Markovitch,NULL,NULL
85130,Tristan,Markovitch,NULL,NULL
85209,Herbert,Markovitch,NULL,NULL
85815,Tomofumi,Markovitch,NULL,NULL
89086,Utz,Markovitch,NULL,NULL
89920,Jaber,Markovitch,NULL,NULL
92947,Zita,Markovitch,NULL,NULL
95176,Demin,Markovitch,NULL,NULL
96603,Zissis,Markovitch,NULL,NULL
96761,Murthy,Markovitch,NULL,NULL
97252,Saniya,Markovitch,NULL,NULL
98085,Uri,Markovitch,NULL,NULL
99538,Cristinel,Markovitch,NULL,NULL
103250,Masoud,Markovitch,NULL,NULL
103499,Hilari,Markovitch,NULL,NULL
107413,Val,Markovitch,NULL,NULL
108426,Susumu,Markovitch,NULL,NULL
200001,Bedrich,Markovitch,NULL,NULL
200594,Sandeepan,Markovitch,NULL,NULL
200657,Boalin,Markovitch,NULL,NULL
202738,Berni,Markovitch,NULL,NULL
203852,Sumant,Markovitch,NULL,NULL
203865,Fumiyo,Markovitch,NULL,NULL
207248,Hailing,Markovitch,NULL,NULL
207953,Arne,Markovitch,NULL,NULL
208668,Xiaoheng,Markovitch,NULL,NULL
209171,Dung,Markovitch,NULL,NULL
209696,Gopalakrishnan,Markovitch,NULL,NULL
209959,Zongyan,Markovitch,NULL,NULL
211436,Carrsten,Markovitch,NULL,NULL
212861,Khun,Markovitch,NULL,NULL
219671,Shir,Markovitch,NULL,NULL
222786,Charlene,Markovitch,NULL,NULL
222979,Subhankar,Markovitch,NULL,NULL
223418,Moni,Markovitch,NULL,NULL
223939,Kazuhisa,Markovitch,NULL,NULL
225462,Takushi,Markovitch,NULL,NULL
225613,Alenka,Markovitch,NULL,NULL
227509,Almudena,Markovitch,NULL,NULL
230037,Jamaludin,Markovitch,NULL,NULL
233621,Duri,Markovitch,NULL,NULL
233703,Valeri,Markovitch,NULL,NULL
234990,Mohamadou,Markovitch,NULL,NULL
236557,Zhonghua,Markovitch,NULL,NULL
237909,Lihong,Markovitch,NULL,NULL
239183,Xinan,Markovitch,NULL,NULL
239759,Stein,Markovitch,NULL,NULL
240398,Lansing,Markovitch,NULL,NULL
241243,Vesna,Markovitch,NULL,NULL
242252,Panayotis,Markovitch,NULL,NULL
245939,Leni,Markovitch,NULL,NULL
246630,Adib,Markovitch,NULL,NULL
246976,JoAnne,Markovitch,NULL,NULL
247546,Froduald,Markovitch,NULL,NULL
250540,Almudena,Markovitch,NULL,NULL
253653,Roselyn,Markovitch,NULL,NULL
253728,Alper,Markovitch,NULL,NULL
257617,Hideyuki,Markovitch,NULL,NULL
261422,Adas,Markovitch,NULL,NULL
261611,Rance,Markovitch,NULL,NULL
263947,Siamak,Markovitch,NULL,NULL
264835,Tsvetan,Markovitch,NULL,NULL
